track,case_id,method,source_case_summary,mesh_path,structure_path,diagnostics_path,reference_case_dir,reference_mesh,reference_available,brick_count,largest_cc_ratio,floating_ratio,low_interlock_ratio,emd,cd,isolated_ratio,floating_count,low_interlock_count,node_count,geom_error,valid_for_graph_metrics,valid_for_geom_metrics,diag_summary_present
ablation,chest_of_drawers_0090,ours_base,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/ours_base_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/ours_base_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/ours_base_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0090_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0090_s00_rotate_x/target_mesh.glb,True,280,1.0,0.007142857142857143,0.03571428571428571,0.22779326813423012,0.034069014166564604,0.0,2,10,280,,True,True,True
ablation,chest_of_drawers_0090,ours_ft,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/ours_ft_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/ours_ft_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/ours_ft_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0090_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0090_s00_rotate_x/target_mesh.glb,True,317,1.0,0.0031545741324921135,0.12933753943217666,0.21687527896587738,0.025966457564911685,0.0,1,41,317,,True,True,True
ablation,chest_of_drawers_0090,ours_full,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/ours_full_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/ours_full_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0090/ours_full_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0090_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0090_s00_rotate_x/target_mesh.glb,True,310,1.0,0.0,0.06129032258064516,0.2157595502742004,0.02627968363091367,0.0,0,19,310,,True,True,True
ablation,chest_of_drawers_0094,ours_base,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/ours_base_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/ours_base_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/ours_base_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0094_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0094_s00_rotate_x/target_mesh.glb,True,177,0.9774011299435028,0.0,0.05084745762711865,0.20397972107977547,0.038697759301525365,0.022598870056497175,0,9,177,,True,True,True
ablation,chest_of_drawers_0094,ours_ft,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/ours_ft_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/ours_ft_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/ours_ft_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0094_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0094_s00_rotate_x/target_mesh.glb,True,152,0.9736842105263158,0.013157894736842105,0.09210526315789473,0.18815103563396973,0.02424018511838256,0.02631578947368421,2,14,152,,True,True,True
ablation,chest_of_drawers_0094,ours_full,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/ours_full_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/ours_full_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/chest_of_drawers_0094/ours_full_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0094_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/chest_of_drawers_0094_s00_rotate_x/target_mesh.glb,True,153,0.9738562091503268,0.0,0.12418300653594772,0.19481947034304747,0.024757614906068384,0.026143790849673203,0,19,153,,True,True,True
ablation,coffee_and_tea_makers_0003,ours_base,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/ours_base_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/ours_base_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/ours_base_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/coffee_and_tea_makers_0003_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/coffee_and_tea_makers_0003_s00_rotate_x/target_mesh.glb,True,188,1.0,0.015957446808510637,0.026595744680851064,0.24839728378130643,0.05764413450206027,0.0,3,5,188,,True,True,True
ablation,coffee_and_tea_makers_0003,ours_ft,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/ours_ft_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/ours_ft_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/ours_ft_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/coffee_and_tea_makers_0003_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/coffee_and_tea_makers_0003_s00_rotate_x/target_mesh.glb,True,134,1.0,0.022388059701492536,0.07462686567164178,0.2143987335168091,0.03830437691781517,0.0,3,10,134,,True,True,True
ablation,coffee_and_tea_makers_0003,ours_full,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/ours_full_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/ours_full_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0003/ours_full_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/coffee_and_tea_makers_0003_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/coffee_and_tea_makers_0003_s00_rotate_x/target_mesh.glb,True,131,1.0,0.0,0.04580152671755725,0.21337831600639257,0.039072521966905166,0.0,0,6,131,,True,True,True
ablation,coffee_and_tea_makers_0005,ours_base,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0005/summary.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0005/ours_base_mesh.glb,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0005/ours_base_structure.json,/home/tdc/img2build_pipeline/comparison_output/qualitative_pack_100cases_20260417/ablation/coffee_and_tea_makers_0005/ours_base_diagnostics.json,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/coffee_and_tea_makers_0005_s00_rotate_x,/home/tdc/img2build_pipeline/output/lego_style_dataset_v1/samples/coffee_and_tea_makers_0005_s00_rotate_x/target_mesh.glb,True,201,1.0,0.004975124378109453,0.10945273631840796,0.3395172029398021,0.13337614764231098,0.0,1,22,201,,True,True,True
